Regulator	Target	MI	pvalue
'frdB'	'ompW'	0.7159982464265123	9.363861686247921E-4
'fiu'	'fhuE'	0.7830806830411656	1.1174648288925226E-6
'alaT'	'ileT'	0.8371383174832214	1.1174648288925226E-6
'yfeO'	'acrD'	0.6579762869332594	9.363861686247921E-4
'tolA'	'rlmL'	0.61890347753575	9.363861686247921E-4
'gltJ'	'abgB'	0.8615335357328506	9.363861686247921E-4
'ycjP'	'ycjQ'	0.8240606522130629	1.1174648288925226E-6
'bioA'	'sfmD'	0.8461914309278604	1.1174648288925226E-6
'ygjK'	'yggP'	0.5931910444570692	9.363861686247921E-4
'rluB'	'ycaO'	0.6392124945478956	9.363861686247921E-4
'wcaA'	'wzc'	0.9319469732983487	1.1174648288925226E-6
'yeaY'	'purR'	0.8229041927492678	9.363861686247921E-4
'gabD'	'gabT'	1.1447254898501336	1.1174648288925226E-6
'yfeR'	'ydeU'	0.8051995677050683	1.1174648288925226E-6
'cpxR'	'dtd'	0.7666875534454357	9.363861686247921E-4
'recQ'	'cdh'	0.7021252101147155	9.363861686247921E-4
'wcaE'	'ssuC'	0.6999459536682545	9.363861686247921E-4
'yrbK'	'kdsD'	0.9595963368719568	9.363861686247921E-4
'rfbD'	'ychQ'	0.5577646160618223	9.363861686247921E-4
'fumA'	'yedF'	0.7384238824094599	9.363861686247921E-4
'ycjQ'	'ycjR'	0.8139513502811383	9.363861686247921E-4
'paaI'	'paaH'	0.9988293754054401	9.363861686247921E-4
'prmB'	'smtA'	0.6971516336524568	1.1174648288925226E-6
'yrbK'	'kdsC'	0.9501919502626106	1.1174648288925226E-6
'tatA'	'secB'	0.7728163550047169	9.363861686247921E-4
'ftsW'	'murC'	0.7714121288016415	9.363861686247921E-4
'ilvB'	'ilvN'	1.2824171867445755	1.1174648288925226E-6
'yafK'	'purN'	0.5177948283267284	9.363861686247921E-4
'yadD'	'ybaT'	0.394217551190638	9.363861686247921E-4
'yfeS'	'yfjK'	0.45833043546674396	9.363861686247921E-4
'gloB'	'ampD'	0.5540762557921055	1.1174648288925226E-6
'htpG'	'groL'	0.6586351020741799	1.1174648288925226E-6
'ivbL'	'ilvL'	0.6712481869992517	1.1174648288925226E-6
'yfdX'	'frc'	0.564859341272256	1.1174648288925226E-6
'yeeV'	'baeS'	0.791931158316769	1.1174648288925226E-6
'yraK'	'arsB'	0.5131396797987158	9.363861686247921E-4
'dusB'	'rpmA'	0.8433891319808712	9.363861686247921E-4
'rpsF'	'priB'	1.2225659409629375	9.363861686247921E-4
'yheV'	'kefB'	0.4055780789176695	1.1174648288925226E-6
'ycdX'	'pgm'	0.6305328379381387	1.1174648288925226E-6
'glpT'	'glpK'	0.9276943012680409	9.363861686247921E-4
'ribA'	'fabD'	0.827604921419096	9.363861686247921E-4
'yliJ'	'ybiC'	0.8758518766734346	9.363861686247921E-4
'recN'	'yafO'	0.7928718152526489	9.363861686247921E-4
'sufE'	'btuD'	0.8430308594834006	9.363861686247921E-4
'cheA'	'cheB'	1.403285898518753	9.363861686247921E-4
'yeeT'	'wcaK'	0.8989310977326104	1.1174648288925226E-6
'yahO'	'yncL'	0.7367683322167953	1.1174648288925226E-6
'narJ'	'narG'	1.1428860902744813	1.1174648288925226E-6
'ivbL'	'ilvB'	0.7678063508326991	1.1174648288925226E-6
'glpT'	'glpQ'	1.1641977579234022	1.1174648288925226E-6
'ispE'	'mdoG'	0.7157757494785647	9.363861686247921E-4
'ydcP'	'yfcL'	0.6238153402578357	9.363861686247921E-4
'ydhS'	'yfcF'	0.904682641126267	9.363861686247921E-4
'ybjE'	'purK'	0.7318206105954588	1.1174648288925226E-6
'etp'	'gfcE'	0.8353877508628988	9.363861686247921E-4
'yhdE'	'mreD'	0.6378272681743521	9.363861686247921E-4
'torS'	'torT'	0.6694514610954908	9.363861686247921E-4
'tap'	'cheW'	1.289129386717225	9.363861686247921E-4
'yeaW'	'narV'	1.0283882312502386	1.1174648288925226E-6
'rplM'	'rpsI'	1.2439110817649888	1.1174648288925226E-6
'yjjW'	'dcuC'	0.5476216786385851	9.363861686247921E-4
'obgE'	'yhbE'	1.0378215308266405	1.1174648288925226E-6
'qor'	'uspD'	0.67677555251105	9.363861686247921E-4
'yihP'	'yjiJ'	0.5046114345225163	9.363861686247921E-4
'dapD'	'panD'	0.7914720891144302	9.363861686247921E-4
'ynfN'	'cspI'	0.4944186515744491	1.1174648288925226E-6
'phnF'	'phnG'	0.7681306610409703	9.363861686247921E-4
'ygaQ'	'alpA'	0.6481870843150339	1.1174648288925226E-6
'lon'	'dnaJ'	0.6928643729295174	1.1174648288925226E-6
'gst'	'ugd'	0.6642278892251232	9.363861686247921E-4
'fecR'	'fecI'	0.7108728710375518	1.1174648288925226E-6
'rssB'	'yceF'	0.7308403666003964	1.1174648288925226E-6
'ssuD'	'rutD'	1.05631508813027	9.363861686247921E-4
'ynjF'	'nudG'	0.8620154034698114	9.363861686247921E-4
'yehD'	'ynfO'	0.5478168191547699	9.363861686247921E-4
'rutE'	'rutD'	1.4015026470337084	1.1174648288925226E-6
'bglB'	'yiaM'	0.9191085312780629	9.363861686247921E-4
'rna'	'dxs'	0.6270645255486378	1.1174648288925226E-6
'yfaZ'	'dusC'	0.5437604045842006	1.1174648288925226E-6
'hslR'	'yrfG'	1.0858967917928983	1.1174648288925226E-6
'rimJ'	'yfbU'	0.7155315031196765	1.1174648288925226E-6
'deaD'	'nlpI'	0.8186162834683957	1.1174648288925226E-6
'ryfD'	'ssrS'	0.7339350774485588	9.363861686247921E-4
'ecpD'	'ykgH'	0.5406487016391012	9.363861686247921E-4
'yoeB'	'yefM'	0.727940167051119	1.1174648288925226E-6
'ygaU'	'ygaM'	1.0483665194487688	1.1174648288925226E-6
'hycC'	'hycF'	0.5265202304464992	9.363861686247921E-4
'yiiF'	'yjhI'	0.547817715857501	1.1174648288925226E-6
'cheB'	'cheY'	1.554262812649749	1.1174648288925226E-6
'yieP'	'rfaD'	0.904814404114885	9.363861686247921E-4
'yegU'	'yegV'	0.7807870297590025	1.1174648288925226E-6
'mdtJ'	'mdtI'	0.6046417924146654	1.1174648288925226E-6
'cirA'	'fiu'	0.9379639959380639	1.1174648288925226E-6
'hycC'	'hycD'	0.6628055188696744	1.1174648288925226E-6
'dadX'	'dadA'	0.8727132265754154	1.1174648288925226E-6
